Name,ori,intensity
cistrome_ets1_37927_seq100,o1,1291.16981132075
cistrome_ets1_37927_seq100,o1,615.757085020243
cistrome_ets1_37927_seq100,o1,1036.71676300578
cistrome_ets1_37927_seq100,o2,168.762790697674
cistrome_ets1_37927_seq100,o2,217.858823529412
cistrome_ets1_37927_seq100,o2,157.197740112994
cistrome_ets1_37927_seq1021,o1,3892.04013377926
cistrome_ets1_37927_seq1021,o1,3533.17391304348
cistrome_ets1_37927_seq1021,o1,4386.66666666667
cistrome_ets1_37927_seq1021,o2,372.642857142857
cistrome_ets1_37927_seq1021,o2,241.779951100245
cistrome_ets1_37927_seq1021,o2,326.252307692308
cistrome_ets1_37927_seq1024,o1,251.806060606061
cistrome_ets1_37927_seq1024,o1,202.786516853933
cistrome_ets1_37927_seq1024,o1,184.277227722772
cistrome_ets1_37927_seq1024,o2,3704.54
cistrome_ets1_37927_seq1024,o2,5568.7701863354
cistrome_ets1_37927_seq1024,o2,4688.12631578947
cistrome_ets1_37927_seq1027,o1,346.917127071823
cistrome_ets1_37927_seq1027,o1,260.458333333333
cistrome_ets1_37927_seq1027,o1,337.036269430052
cistrome_ets1_37927_seq1027,o2,102.0
cistrome_ets1_37927_seq1027,o2,158.488372093023
cistrome_ets1_37927_seq1027,o2,113.097625329815
cistrome_ets1_37927_seq1036,o1,2219.58115183246
cistrome_ets1_37927_seq1036,o1,2739.71891891892
cistrome_ets1_37927_seq1036,o1,3000.95
cistrome_ets1_37927_seq1036,o2,145.579487179487
cistrome_ets1_37927_seq1036,o2,192.201117318436
cistrome_ets1_37927_seq1036,o2,195.463137996219
cistrome_ets1_37927_seq107,o1,1287.24705882353
cistrome_ets1_37927_seq107,o1,925.849462365591
cistrome_ets1_37927_seq107,o1,1278.6531986532
cistrome_ets1_37927_seq107,o2,553.153846153846
cistrome_ets1_37927_seq107,o2,1123.9460916442
cistrome_ets1_37927_seq107,o2,1020.13114754098
cistrome_ets1_37927_seq1077,o1,859.128491620112
cistrome_ets1_37927_seq1077,o1,1056.11764705882
cistrome_ets1_37927_seq1077,o1,1316.0
cistrome_ets1_37927_seq1077,o2,4408.98630136986
cistrome_ets1_37927_seq1077,o2,3271.54078549849
cistrome_ets1_37927_seq1077,o2,1971.4128440367
cistrome_ets1_37927_seq108,o1,10442.2612826603
cistrome_ets1_37927_seq108,o1,7009.92828685259
cistrome_ets1_37927_seq108,o1,6445.2600422833
cistrome_ets1_37927_seq108,o2,2047.62561576355
cistrome_ets1_37927_seq108,o2,2095.93142857143
cistrome_ets1_37927_seq108,o2,2223.58620689655
cistrome_ets1_37927_seq1083,o1,180.106870229008
cistrome_ets1_37927_seq1083,o1,196.58883248731
cistrome_ets1_37927_seq1083,o1,254.552971576227
cistrome_ets1_37927_seq1083,o2,158.090909090909
cistrome_ets1_37927_seq1083,o2,184.739884393064
cistrome_ets1_37927_seq1083,o2,116.650602409639
cistrome_ets1_37927_seq109,o1,13820.1860465116
cistrome_ets1_37927_seq109,o1,12759.0843373494
cistrome_ets1_37927_seq109,o1,9846.77647058823
cistrome_ets1_37927_seq109,o2,1789.54716981132
cistrome_ets1_37927_seq109,o2,2162.0
cistrome_ets1_37927_seq109,o2,2838.36781609195
cistrome_ets1_37927_seq1098,o1,1668.95483870968
cistrome_ets1_37927_seq1098,o1,1685.51724137931
cistrome_ets1_37927_seq1098,o1,1358.54736842105
cistrome_ets1_37927_seq1098,o2,329.229268292683
cistrome_ets1_37927_seq1098,o2,266.986111111111
cistrome_ets1_37927_seq1098,o2,473.830721003135
cistrome_ets1_37927_seq110,o1,340.089887640449
cistrome_ets1_37927_seq110,o1,275.338582677165
cistrome_ets1_37927_seq110,o1,447.365439093484
cistrome_ets1_37927_seq110,o2,251.022727272727
cistrome_ets1_37927_seq110,o2,192.32183908046
cistrome_ets1_37927_seq110,o2,160.38418079096
cistrome_ets1_37927_seq1104,o1,2987.67567567568
cistrome_ets1_37927_seq1104,o1,1544.43773584906
cistrome_ets1_37927_seq1104,o1,2461.97416020672
cistrome_ets1_37927_seq1104,o2,18017.3263157895
cistrome_ets1_37927_seq1104,o2,24042.7741935484
cistrome_ets1_37927_seq1104,o2,19377.4928229665
cistrome_ets1_37927_seq1111,o1,255.911894273128
cistrome_ets1_37927_seq1111,o1,294.313099041534
cistrome_ets1_37927_seq1111,o1,318.062893081761
cistrome_ets1_37927_seq1111,o2,259.573604060914
cistrome_ets1_37927_seq1111,o2,315.354838709677
cistrome_ets1_37927_seq1111,o2,217.760617760618
cistrome_ets1_37927_seq111_0,o1,1265.22627737226
cistrome_ets1_37927_seq111_0,o1,1314.93785310734
