Name,intensity_x,intensity_y,unnormalized_intensity,label
seq1056_all_clean_seqs_gap0_no20_0.4,590.16119437049,541.812370570439,568.849780679453,independent
seq1057_all_clean_seqs_gap0_no20_0.4,482.26594008543,376.67908457045706,433.073128527806,independent
seq1059_all_clean_seqs_gap0_no20_0.4,1314.6167582887952,1503.3828870249447,1359.47672630892,independent
seq1060_all_clean_seqs_gap0_no20_0.4,444.3204414804745,533.4331958524044,561.9602169908301,independent
seq1061_all_clean_seqs_gap0_no20_0.4,501.151475004416,507.37088201546396,540.531141086014,independent
seq1062_all_clean_seqs_gap0_no20_0.4,1364.471641601965,1574.2931778867037,1417.780912760525,independent
seq1063_all_clean_seqs_gap0_no20_0.4,1635.94801886395,2396.1389772303655,2093.522756956545,independent
seq1065_all_clean_seqs_gap0_no20_0.4,5164.27726374204,17990.072124132595,14915.2384016341,cooperative
seq1069_all_clean_seqs_gap0_no20_0.4,3346.509774465425,14201.520161963197,11800.197731239095,cooperative
seq106_all_clean_seqs_gap0_no20_0.4,427.56317506965354,589.5484276289963,608.0995417138915,independent
seq1070_all_clean_seqs_gap0_no20_0.4,749.1986166007905,4156.636285870973,3541.0469749947697,cooperative
seq1071_all_clean_seqs_gap0_no20_0.4,633.908793751218,532.2337605966948,560.9740118020535,independent
seq1072_all_clean_seqs_gap0_no20_0.4,1192.0936986019751,983.6937717852892,932.1755447234,independent
seq1074_all_clean_seqs_gap0_no20_0.4,507.868326397146,481.22135450997075,519.030355956336,independent
seq1075_all_clean_seqs_gap0_no20_0.4,2559.2963992312352,3518.9846181620132,3016.75407937319,independent
seq1079_all_clean_seqs_gap0_no20_0.4,948.123228153961,2109.0076493953557,1857.436312087405,cooperative
seq1080_all_clean_seqs_gap0_no20_0.4,745.5835435562119,732.3705590837195,725.531413457102,independent
seq1082_all_clean_seqs_gap0_no20_0.4,492.40293228536905,478.2387887414527,516.5780169719865,independent
seq1084_all_clean_seqs_gap0_no20_0.4,962.3330517389779,8733.763513686743,7304.4736378968955,cooperative
seq1085_all_clean_seqs_gap0_no20_0.4,4346.572565110186,4911.866501545928,4162.01584669834,independent
seq1086_all_clean_seqs_gap0_no20_0.4,819.34099148423,762.8153227855738,750.5638475054755,independent
seq1088_all_clean_seqs_gap0_no20_0.4,4430.264813079245,13169.979500938087,10952.0396105783,cooperative
seq1089_all_clean_seqs_gap0_no20_0.4,548.6265432098764,910.2452604003394,871.784370884761,cooperative
seq1090_all_clean_seqs_gap0_no20_0.4,906.5124326145569,916.1372645313595,876.628921700359,independent
seq1091_all_clean_seqs_gap0_no20_0.4,4640.816371681415,5654.163779959128,4772.3509390687195,independent
seq1092_all_clean_seqs_gap0_no20_0.4,1024.426113360325,1275.7453649445547,1172.307552843945,independent
seq1094_all_clean_seqs_gap0_no20_0.4,6920.496968271525,10657.15501854123,8885.933473354231,independent
seq1096_all_clean_seqs_gap0_no20_0.4,597.4028192371475,570.831622817711,592.710124123955,independent
seq1099_all_clean_seqs_gap0_no20_0.4,497.99066710190505,465.7154591110013,506.2810271148695,independent
seq1100_all_clean_seqs_gap0_no20_0.4,1335.14130972634,1332.6839320810293,1219.12384416454,ambiguous
seq1101_all_clean_seqs_gap0_no20_0.4,7576.239770600135,10405.181664262687,8678.7547796815,independent
seq1105_all_clean_seqs_gap0_no20_0.4,1950.91001144984,2425.7587559648105,2117.876868059475,independent
seq1106_all_clean_seqs_gap0_no20_0.4,606.2902643118045,543.5505395663101,570.2789460091685,independent
seq1107_all_clean_seqs_gap0_no20_0.4,1452.622104767035,6840.171193576913,5747.515425579781,cooperative
seq1109_all_clean_seqs_gap0_no20_0.4,512.476477424897,506.6155008985785,539.910048139621,independent
seq110_all_clean_seqs_gap0_no20_0.4,900.3165625965315,998.3371380239125,944.2156808599204,independent
seq1110_all_clean_seqs_gap0_no20_0.4,1289.6364736905198,2021.9205754735842,1785.83117644696,independent
seq1111_all_clean_seqs_gap0_no20_0.4,2814.77732634132,3483.4657813785416,2987.54961754966,independent
seq1114_all_clean_seqs_gap0_no20_0.4,869.7627821314785,1348.9945146828386,1232.534806629835,independent
seq1116_all_clean_seqs_gap0_no20_0.4,460.8590193543525,329.0349773244366,393.898970892383,independent
seq1117_all_clean_seqs_gap0_no20_0.4,1935.02943240171,3292.747752352656,2830.7365599684153,ambiguous
seq1118_all_clean_seqs_gap0_no20_0.4,411.511892330897,625.932819347214,638.0156841085525,cooperative
seq1120_all_clean_seqs_gap0_no20_0.4,481.2235401459855,355.8520122984078,415.9485970919115,ambiguous
seq1121_all_clean_seqs_gap0_no20_0.4,6416.24827708861,9082.310198317335,7591.057300730945,ambiguous
seq1123_all_clean_seqs_gap0_no20_0.4,1315.925763314965,2544.224487684546,2215.28230845992,cooperative
seq1124_all_clean_seqs_gap0_no20_0.4,886.7418449055469,4531.540951170318,3849.30281827996,cooperative
seq1126_all_clean_seqs_gap0_no20_0.4,412.059361352061,474.9590757996292,513.8813562681036,independent
seq1128_all_clean_seqs_gap0_no20_0.4,797.4084473242144,1287.760394023855,1182.186605477175,cooperative
seq1129_all_clean_seqs_gap0_no20_0.4,434.78445765296,874.2215765051735,842.1648113402646,independent
seq1130_all_clean_seqs_gap0_no20_0.4,573.1726690659525,544.9935833000014,571.465452084443,independent
seq1131_all_clean_seqs_gap0_no20_0.4,546.5828499381136,968.0494134930009,919.312368283079,ambiguous
seq1132_all_clean_seqs_gap0_no20_0.4,418.1154237060875,775.9523551437067,761.3654388502715,independent
seq1133_all_clean_seqs_gap0_no20_0.4,563.108055224126,482.94511126300256,520.4476711852625,independent
seq1134_all_clean_seqs_gap0_no20_0.4,592.0636212299255,663.0899076406356,668.5671566456185,independent
seq1135_all_clean_seqs_gap0_no20_0.4,947.6489113723155,1056.1465119504983,991.7479709563904,independent
seq1136_all_clean_seqs_gap0_no20_0.4,5703.729361245305,22760.38162996387,18837.50428828895,cooperative
seq1137_all_clean_seqs_gap0_no20_0.4,490.6597206680465,600.3095342231406,616.947588417208,ambiguous
seq1138_all_clean_seqs_gap0_no20_0.4,7031.547336389825,8275.849536656446,6927.965495409941,independent
seq113_all_clean_seqs_gap0_no20_0.4,523.69190987761,596.3417762617565,613.6852001634865,independent
seq1140_all_clean_seqs_gap0_no20_0.4,369.41786533652953,1640.243293713634,1472.0067212144,cooperative
seq1142_all_clean_seqs_gap0_no20_0.4,435.4096227018955,471.48255562934764,511.0228758169935,independent
seq1143_all_clean_seqs_gap0_no20_0.4,748.6894949130375,856.6346839974497,827.7044354566895,independent
seq1144_all_clean_seqs_gap0_no20_0.4,817.5006604292789,858.0941937655252,828.904480310711,independent
seq1145_all_clean_seqs_gap0_no20_0.4,869.3755020312401,1852.4869767952348,1646.518701368165,cooperative
seq1146_all_clean_seqs_gap0_no20_0.4,444.304924593479,496.82938967739653,531.8636666293789,independent
seq1148_all_clean_seqs_gap0_no20_0.4,538.5010790755765,404.4181613736231,455.880880213385,ambiguous
seq1149_all_clean_seqs_gap0_no20_0.4,546.2053078074675,525.9982342273121,555.847008547009,independent
seq1150_all_clean_seqs_gap0_no20_0.4,1064.9427105152927,3177.747411026481,2736.180448842725,cooperative
seq1151_all_clean_seqs_gap0_no20_0.4,4824.954217899615,5325.963051806755,4502.49622242324,independent
seq1152_all_clean_seqs_gap0_no20_0.4,644.01097260948,807.1698182313082,787.0332053519485,cooperative
seq1153_all_clean_seqs_gap0_no20_0.4,1951.6022098538501,2769.299233968648,2400.344304587945,independent
seq1154_all_clean_seqs_gap0_no20_0.4,350.8809730242815,1084.1459149068257,1014.76976921247,cooperative
seq1155_all_clean_seqs_gap0_no20_0.4,901.6027137513686,1622.2979580108145,1457.2516245135048,cooperative
seq1156_all_clean_seqs_gap0_no20_0.4,421.8224652570775,1709.1396778145931,1528.6550239592698,cooperative
seq1157_all_clean_seqs_gap0_no20_0.4,539.8457908198579,1189.7168615043665,1101.5727999079045,cooperative
seq1159_all_clean_seqs_gap0_no20_0.4,8263.368982736865,7730.053657693026,6479.19869012862,independent
seq1160_all_clean_seqs_gap0_no20_0.4,1166.745834920905,1487.5694438579403,1346.474524122945,independent
seq1161_all_clean_seqs_gap0_no20_0.4,519.3019228714879,487.2867868512594,524.017503714981,independent
seq1162_all_clean_seqs_gap0_no20_0.4,749.7898870939015,4212.388053954326,3586.88745092337,cooperative
seq1163_all_clean_seqs_gap0_no20_0.4,1232.61207668277,2661.3860189915204,2311.61540318089,cooperative
seq1164_all_clean_seqs_gap0_no20_0.4,495.2598113435555,612.6038850987923,627.0563063063065,independent
seq1165_all_clean_seqs_gap0_no20_0.4,622.596138372604,705.2203657947416,703.207856290996,independent
seq1166_all_clean_seqs_gap0_no20_0.4,593.883980596215,600.536731353807,617.134395490013,ambiguous
seq1167_all_clean_seqs_gap0_no20_0.4,1605.2670037068701,2532.0096579784213,2205.23897483365,independent
seq1168_all_clean_seqs_gap0_no20_0.4,495.6826901376665,381.65135835146555,437.16145441243,independent
seq1169_all_clean_seqs_gap0_no20_0.4,419.8111545988255,463.211616518323,504.222306108442,independent
seq116_all_clean_seqs_gap0_no20_0.4,428.15870768348054,472.8699927645671,512.163660778367,independent
seq1170_all_clean_seqs_gap0_no20_0.4,955.6745267114145,1234.1857285125143,1138.1361968680048,cooperative
seq1171_all_clean_seqs_gap0_no20_0.4,6712.16882592836,19660.685446064996,16288.85779349885,cooperative
seq1172_all_clean_seqs_gap0_no20_0.4,512.499338554344,470.4241494787924,510.1526282296045,independent
seq1173_all_clean_seqs_gap0_no20_0.4,4854.55009799118,8933.570777469857,7468.760088007595,cooperative
seq1174_all_clean_seqs_gap0_no20_0.4,586.0355746404134,529.5010441970838,558.727105118327,independent
seq1175_all_clean_seqs_gap0_no20_0.4,729.9538550000575,675.8742573243208,679.0787636149545,independent
seq1176_all_clean_seqs_gap0_no20_0.4,2721.7935998625353,5502.869218365482,4647.95282673455,independent
seq1177_all_clean_seqs_gap0_no20_0.4,1720.06525336228,4087.9263484164435,3484.55197327158,cooperative
seq1178_all_clean_seqs_gap0_no20_0.4,3220.860915846555,12526.537752477185,10422.985968052024,cooperative
seq1179_all_clean_seqs_gap0_no20_0.4,2113.7035507885203,3175.4577976132423,2734.297872340425,cooperative
seq1180_all_clean_seqs_gap0_no20_0.4,442.9939759036145,477.225466336724,515.7448383500559,independent
seq1181_all_clean_seqs_gap0_no20_0.4,3976.23814174107,10147.963139332784,8467.26337760057,cooperative
seq1182_all_clean_seqs_gap0_no20_0.4,499.2678287021345,418.6523729981591,467.5845993557375,independent
seq1183_all_clean_seqs_gap0_no20_0.4,996.2607003566809,2531.033969305445,2204.43673959224,cooperative
seq1184_all_clean_seqs_gap0_no20_0.4,696.762685010719,1026.7835245395397,967.605,cooperative
seq1185_all_clean_seqs_gap0_no20_0.4,440.1304141922875,470.96496624099285,510.597301082533,independent
